contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,underlyingPrice,daysToExpiration,yearsToExpiration,moneyness,logMoneyness,bidAskSpread,bidAskSpreadPct,liquidityScore,impliedVolatilityPct
AAPL250530P00130000,2025-05-23 19:28:21+00:00,130.0,0.02,0.01,0.02,0.01,100.0,356.0,181.0,1.109379453125,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.6657448660828595,-0.40684876579682333,0.01,50.0,233.5,110.9379453125
AAPL250530P00135000,2025-05-23 19:29:22+00:00,135.0,0.01,0.0,0.03,0.0,0.0,139.0,452.0,1.015629921875,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.6913504378552773,-0.36910843781397623,0.03,300.0,358.09999999999997,101.5629921875
AAPL250530P00140000,2025-05-23 19:37:48+00:00,140.0,0.02,0.01,0.03,0.01,100.0,133.0,873.0,0.9531254687499999,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.7169560096276949,-0.33274079364310144,0.019999999999999997,99.99999999999997,650.9999999999999,95.312546875
AAPL250530P00145000,2025-05-23 19:55:56+00:00,145.0,0.02,0.01,0.03,0.01,100.0,1011.0,1421.0,0.85937640625,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.7425615814001126,-0.29764947383183127,0.019999999999999997,99.99999999999997,1298.0,85.937640625
AAPL250530P00150000,2025-05-23 19:26:11+00:00,150.0,0.02,0.02,0.04,0.0,0.0,513.0,314.0,0.804689453125,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.7681671531725303,-0.26374792215615,0.02,100.0,373.7,80.4689453125
AAPL250530P00155000,2025-05-23 19:55:12+00:00,155.0,0.04,0.03,0.04,0.03,300.0,2658.0,895.0,0.726565234375,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.793772724944948,-0.23095809933315906,0.010000000000000002,25.000000000000007,1423.9,72.6565234375
AAPL250530P00160000,2025-05-23 19:49:47+00:00,160.0,0.04,0.04,0.05,0.01,33.333336,3372.0,605.0,0.6562534375000001,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.8193782967173656,-0.1992094010185788,0.010000000000000002,25.000000000000007,1435.1,65.62534375000001
AAPL250530P00165000,2025-05-23 19:58:35+00:00,165.0,0.07,0.06,0.08,0.030000001,75.00001,2297.0,4375.0,0.6015664843750002,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.8449838684897834,-0.16843774235182507,0.020000000000000004,28.571428571428577,3751.6,60.15664843750002
AAPL250530P00170000,2025-05-23 19:59:37+00:00,170.0,0.1,0.1,0.11,0.040000003,66.66667,5081.0,3187.0,0.5390671093750001,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.870589440262201,-0.13858477920214396,0.009999999999999995,9.999999999999995,3755.2,53.906710937500016
AAPL250530P00175000,2025-05-23 19:58:46+00:00,175.0,0.18,0.16,0.17,0.10000001,125.000015,4205.0,3874.0,0.47949739257812496,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.8961950120346187,-0.1095972423288916,0.010000000000000009,5.555555555555561,3973.2999999999997,47.949739257812496
