dataDate,surfaceId,ticker,spotPrice,optionLabel,optionType,strike,moneyness,moneynessPct,expirationDate,daysToExpiration,yearsToExpiration,optionPrice,bid,ask,impliedVolatility,delta,gamma,theta,vega,volume,openInterest,inTheMoney
2025-05-23,surface_vol_20250523,AAPL,199.95,60% 0.25Y,CALL,120.0,0.6002,60,2025-05-30,7,0.0192,79.94999999999999,79.55,80.35,50.0005,1.0,0.0,-0.0164,0.0,4.0,2,True
2025-05-23,surface_vol_20250523,AAPL,199.95,60% 0.25Y,CALL,120.0,0.6002,60,2025-06-06,14,0.0383,80.025,79.6,80.45,140.625296875,0.9772,0.000982,-0.1221,0.0212,3.0,4,True
2025-05-23,surface_vol_20250523,AAPL,199.95,60% 0.25Y,CALL,120.0,0.6002,60,2025-06-20,28,0.0767,80.375,79.95,80.8,108.10592822265626,0.9691,0.001164,-0.0899,0.0386,1.0,1215,True
2025-05-23,surface_vol_20250523,AAPL,199.95,60% 0.25Y,CALL,120.0,0.6002,60,2025-07-18,56,0.1533,85.43,0.0,0.0,0.0010000000000000002,1.0,0.0,-0.0163,0.0,4.0,0,True
2025-05-23,surface_vol_20250523,AAPL,199.95,60% 0.25Y,CALL,120.0,0.6002,60,2025-08-15,84,0.23,81.325,81.0,81.65,71.87528125,0.9542,0.001395,-0.0543,0.0922,3.0,102,True
2025-05-23,surface_vol_20250523,AAPL,199.95,60% 0.50Y,CALL,120.0,0.6002,60,2025-09-19,119,0.3258,82.125,81.65,82.6,66.51644812011722,0.9427,0.001514,-0.051,0.1312,1.0,1170,True
2025-05-23,surface_vol_20250523,AAPL,199.95,60% 0.50Y,CALL,120.0,0.6002,60,2025-10-17,147,0.4025,82.625,82.2,83.05,62.805547729492204,0.9371,0.001551,-0.0475,0.1567,1.0,68,True
2025-05-23,surface_vol_20250523,AAPL,199.95,62% 0.25Y,CALL,125.0,0.6252,62,2025-05-30,7,0.0192,74.94999999999999,74.55,75.35,50.0005,1.0,0.0,-0.0171,0.0,2.0,9,True
2025-05-23,surface_vol_20250523,AAPL,199.95,62% 0.25Y,CALL,125.0,0.6252,62,2025-06-06,14,0.0383,75.05,74.6,75.5,135.15657421875,0.9722,0.001206,-0.1369,0.025,1.0,7,True
2025-05-23,surface_vol_20250523,AAPL,199.95,62% 0.25Y,CALL,125.0,0.6252,62,2025-06-20,28,0.0767,75.325,74.9,75.75,98.437515625,0.9695,0.001265,-0.0832,0.0382,2.0,408,True
2025-05-23,surface_vol_20250523,AAPL,199.95,62% 0.25Y,CALL,125.0,0.6252,62,2025-07-18,56,0.1533,75.9,75.6,76.2,77.36839038085938,0.958,0.001481,-0.0642,0.0703,1.0,2602,True
2025-05-23,surface_vol_20250523,AAPL,199.95,62% 0.25Y,CALL,125.0,0.6252,62,2025-08-15,84,0.23,76.525,76.05,77.0,69.14093359375,0.9471,0.001627,-0.0579,0.1035,1.0,45,True
2025-05-23,surface_vol_20250523,AAPL,199.95,62% 0.50Y,CALL,125.0,0.6252,62,2025-09-19,119,0.3258,77.19999999999999,76.8,77.6,62.68347863769532,0.9379,0.001711,-0.0517,0.1397,1.0,541,True
2025-05-23,surface_vol_20250523,AAPL,199.95,62% 0.50Y,CALL,125.0,0.6252,62,2025-10-17,147,0.4025,77.875,77.45,78.3,60.18716571044924,0.9297,0.001764,-0.0495,0.1708,2.0,19,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.25Y,CALL,130.0,0.6502,65,2025-05-30,7,0.0192,69.94999999999999,69.55,70.35,50.0005,1.0,0.0,-0.0178,0.0,2.0,2,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.25Y,CALL,130.0,0.6502,65,2025-06-06,14,0.0383,70.125,69.6,70.65,134.57063964843746,0.9619,0.001572,-0.1726,0.0324,2.0,6,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.25Y,CALL,130.0,0.6502,65,2025-06-13,21,0.0575,70.19999999999999,69.6,70.8,103.51610742187502,0.9693,0.001398,-0.0989,0.0333,,1,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.25Y,CALL,130.0,0.6502,65,2025-06-20,28,0.0767,70.375,69.95,70.8,93.164130859375,0.9651,0.001495,-0.0878,0.0427,1.0,942,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.25Y,CALL,130.0,0.6502,65,2025-06-27,35,0.0958,70.525,69.8,71.25,85.59584716796876,0.9621,0.001557,-0.079,0.0511,,1,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.25Y,CALL,130.0,0.6502,65,2025-07-18,56,0.1533,71.0,70.75,71.25,73.41335180664062,0.9524,0.001727,-0.0672,0.0777,1.0,278,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.25Y,CALL,130.0,0.6502,65,2025-08-15,84,0.23,71.625,71.35,71.9,65.32017102050783,0.9415,0.001864,-0.0593,0.1119,25.0,45,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.50Y,CALL,130.0,0.6502,65,2025-09-19,119,0.3258,72.425,72.0,72.85,59.936924072265626,0.9302,0.001959,-0.0538,0.1529,2.0,82,True
2025-05-23,surface_vol_20250523,AAPL,199.95,65% 0.50Y,CALL,130.0,0.6502,65,2025-10-17,147,0.4025,73.2,72.7,73.7,57.910577148437504,0.9208,0.002009,-0.0518,0.1872,1.0,199,True
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.25Y,CALL,135.0,0.6752,67,2025-05-30,7,0.0192,64.94999999999999,64.55,65.35,50.0005,1.0,0.0,-0.0185,0.0,3.0,3,True
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.25Y,CALL,135.0,0.6752,67,2025-06-06,14,0.0383,65.025,64.6,65.45,110.9379453125,0.9729,0.001438,-0.1146,0.0244,4.0,6,True
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.25Y,CALL,135.0,0.6752,67,2025-06-13,21,0.0575,65.19999999999999,64.8,65.6,95.507857421875,0.9673,0.001597,-0.0972,0.035,,1,True
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.25Y,CALL,135.0,0.6752,67,2025-06-20,28,0.0767,65.42500000000001,64.95,65.9,87.74426318359374,0.9603,0.001764,-0.0916,0.0474,256.0,789,True
